id,receipt_id,item,price
1,1,PISTACHIO SEGMEN PKT ,7.15
2,1,CARGO BENJATHIP THAILAND bag ,4.95
3,1,DELIGHT DOUBLE BAKED PISTACHIO SEGMEN ,"9.80"
4,1,SPAGHETTI 003 ITALIAN COLAVITA PKT ,2.95
5,1,1.0000 RICEBL RICE TRIPLE BLEND POUCH ,"7.80"
6,2,CALL OR TEXT 1737 FOR FREE KORERO SCHWEPPES TONIC WATER 1.5L BTL ,4.49
7,2,MF KALD AUTH GREEK YOG BERRY MEDLY 800G ,9.29
8,2,BAKER BOYS COCONUT SUPREME SLICE 330G ,7.19
9,2,JUMBO PAIN AU RAISIN X1 jae 3.99 ,11.97
10,2,NZ BEEF PRIME MINCE ,"10.30"
11,2,NZ Beef Diced Beef 10 ,"10.00"
12,2,EFTPS ,53.24
13,3,ARNOTTS NICE 2506 20 3.59 ,7.18
14,3,FROOZE BALLS ENERGY RASP DARK CHOC 210G ,5.99
15,3,LINDT LINDOR ASSORTED POUCH BAG 1256 ,13.99
16,3,BANANAS 0.875 Kg @ 3.69/Kg ,3.23
17,3,PERSIMMONS 1.145 Kg @ 6.99/Kg ,"8.00"
18,3,ESK VALLEY SAUV BLANC 750ML ,14.99
19,3,NZ CHICKEN BREAST SKINLESS ,"9.20"
20,3,PAHS HOT ROAST CHLCKEN ORIGINAL LRG ,15.99
21,4,CAMPBELLS REAL STOCK VEGETABLE 1L S449 IDOHIE NOLS HI/G BBO CHK 105 ,1.99
22,4,HOTHER EARTH OATY SLCE CHO/ORANGE 6S ,3.99
23,4,PICS PEANUT BUTTER SHODTH 3808 ,6.49
24,4,AED SEAL LENON/GINGER FRUIT TEA 208 ,3.49
25,4,H2 SNAPPER FILLETS ,528.59
26,4,APPLES ROVAL GALA ,1.07
27,4,AvOCADD ,"0.99"
28,4,BANANAS 130K 8 3.29/Ke ,4.57
29,4,BEETROOT ,52.46
30,4,BROCCOLI ,2.69
31,4,CAPSICUN RED 38 50.99 ,2.97
32,4,CARROTS ,"0.51"
33,4,CELERY HALF ,3.99
34,4,EGAPLANT ,4.49
35,4,NECTARINE YELLOW FLESH 8.5 SUEDE. ,56.63
36,4,SUEETCORN 50 0.9 ,4.35
37,4,TRICKETTS GROVE UALNUTS IN SHELL 4008 ,8.99
38,4,ALHONDS ROASTED UNSALTED ,7.85
39,4,VALNUT PIECES NZ ,6.03
40,4,AUNTIE DAIS DUKPL PORK GRRL CHIV 1.3266 ,17.99
41,4,ANCHOR CREAN PLASTIC BOTTLE 300K ,3.13
42,4,WEADOW FRESH BUTTERMILK 600M ,5.19
43,4,PAHS GRATED CHEESE MOZZARELLA 3756 ,8.89
44,4,T/C GOURMET YOGHURT BOYSENGERRY 5006 ,5.89
45,4,FRENCH STICK PLAIN ,52.59
46,4,Tore ,197.51
47,5,CALL OR TEXT 1737 FOR FREE KORERO ARNOTTS CRACKERS COUNTRY CHEESE 250G ,3.99
48,5,WGTN CHOC FACOTRY SALTED CARAMEL 856G ,8.99
49,5,NZ LEMON FISH RIG FILLETS ,24.21
50,5,BEEHIVE SAUSAGE MINI CHEESE KRANSKYS00G ,9.99
51,6,CALL OR TEXT 1737 FOR FREE KORERD PAMS JAM CHUNKY BLACKCURRANT 450G ,3.49
52,6,PAMS JAM RED PLUM 450g ,3.49
53,6,WHITTAKERS DRK CHOC SALTED CARAMEL 250G ,5.99
54,6,NZ HOKT FILLETS ,22.88
55,6,CUCUMBER TELEGRAPH ,2.99
56,6,TOMATOES RED LOOSE ,3.52
57,6,GENOESE FRESH BASIL PESTO 350G ,14.29
58,6,T/C GOURMET YOGHURT PLUK 5006 ,5.89
59,6,THE CRATER RIM ASHES PINOT NOIR 750M ,23.99
60,6,BUNS CHELSEA/CUSTARD SCROLLS 4PK a BEEHIVE SAUSAGE CHEESE FRANKFURTER 8006 ,9.99
